Flight_ID,Date,Time,Departure_Airport,Arrival_Airport,Datetime,Hour,Weekday_numeric,Wind_Speed_knotstomph,Visibility_km_tomile,Temperature_Celsius_toFahrenheit,Season,Turbulence_LeveltoNumerical,Depart_Latitude,Depart_Longitude,Depart_Index,Arrive_Latitude,Arrive_Longitude,Arrive_Index,Distance_mile,TimeOfDay,TimeOfDay_num
12,2024-10-12,05:26:00,MIA,SLC,2024-10-12 05:26:00,5,6,46.0312,3.107520198881293,35.6,3,1,25.793,-80.291,18.0,40.788,-111.978,12.0,2086.226425286811,Morning,1
30,2024-04-03,23:03:00,PDX,ATL,2024-04-03 23:03:00,23,3,28.769499999999997,1.8645121193287757,39.2,1,1,45.589,-122.597,19.0,33.640,-84.427,20.0,2167.969509630783,Night,4
3,2024-05-15,05:23:00,IAH,JFK,2024-05-15 05:23:00,5,3,18.41248,7.458048477315103,62.6,1,3,29.980,-95.340,1.0,40.640,-73.779,21.0,1415.5521410430997,Morning,1
124,2024-06-14,03:33:00,DEN,JFK,2024-06-14 03:33:00,3,5,40.2773,10.565568676196396,35.6,2,1,39.858,-104.667,20.0,40.640,-73.779,21.0,1621.396208108811,Night,4
34,2024-07-19,06:54:00,AUS,IAH,2024-07-19 06:54:00,6,5,13.809359999999998,6.836544437538844,32.0,2,1,30.194,-97.670,21.0,29.980,-95.340,18.0,140.07837976980062,Morning,1
147,2024-10-20,05:40:00,DEN,STL,2024-10-20 05:40:00,5,7,0.0,4.35052827843381,68.0,3,2,39.858,-104.667,20.0,38.748,-90.360,19.0,767.9341063242671,Morning,1
110,2024-10-03,18:43:00,PHL,PDX,2024-10-03 18:43:00,18,4,47.181979999999996,6.836544437538844,-4.0,3,2,39.872,-75.241,6.0,45.589,-122.597,22.0,2400.057267940085,Evening,3
117,2024-05-22,23:51:00,IAD,PDX,2024-05-22 23:51:00,23,3,5.7539,8.079552517091361,6.800000000000001,1,1,38.944,-77.456,11.0,45.589,-122.597,22.0,2321.579192419022,Night,4
103,2024-11-04,17:04:00,SEA,DEN,2024-11-04 17:04:00,17,1,56.38822,6.836544437538844,64.4,3,1,47.449,-122.309,22.0,39.858,-104.667,23.0,1022.6156586822217,Evening,3
54,2024-12-24,13:32:00,PDX,BNA,2024-12-24 13:32:00,13,2,28.769499999999997,12.430080795525171,91.4,0,2,45.589,-122.597,19.0,36.124,-86.678,9.0,1968.4886217253913,Afternoon,2
108,2024-05-12,22:32:00,IND,SLC,2024-05-12 22:32:00,22,7,12.658579999999999,4.35052827843381,8.600000000000001,1,1,39.717,-86.294,5.0,40.788,-111.978,12.0,1351.5714844157683,Night,4
194,2024-02-15,01:44:00,ATL,MCO,2024-02-15 01:44:00,1,4,34.523399999999995,11.187072715972654,71.6,0,3,33.640,-84.427,0.0,28.429,-81.316,17.0,404.3610246789952,Night,4
153,2024-04-07,17:12:00,SEA,DEN,2024-04-07 17:12:00,17,7,40.2773,1.2430080795525171,82.4,1,1,47.449,-122.309,22.0,39.858,-104.667,23.0,1022.6156586822217,Evening,3
49,2024-12-02,07:23:00,DFW,STL,2024-12-02 07:23:00,7,1,12.658579999999999,1.8645121193287757,64.4,0,3,32.896,-97.037,10.0,38.748,-90.360,19.0,550.5038392972778,Morning,1
57,2024-03-24,00:01:00,DFW,ATL,2024-03-24 00:01:00,0,7,43.729639999999996,1.2430080795525171,73.4,1,2,32.896,-97.037,10.0,33.640,-84.427,20.0,729.8434244575793,Night,4
101,2024-02-18,23:55:00,MSP,DEN,2024-02-18 23:55:00,23,7,17.261699999999998,12.430080795525171,68.0,0,3,44.880,-93.217,23.0,39.858,-104.667,23.0,678.7941450791918,Night,4
31,2024-07-03,04:53:00,STL,DEN,2024-07-03 04:53:00,4,3,40.2773,11.808576755748913,35.6,2,1,38.748,-90.360,2.0,39.858,-104.667,23.0,767.9341063242671,Night,4
197,2024-03-25,21:19:00,CMH,BNA,2024-03-25 21:19:00,21,1,12.658579999999999,3.107520198881293,87.8,1,1,39.998,-82.892,16.0,36.124,-86.678,9.0,337.66410988761254,Evening,3
58,2024-11-13,21:05:00,SLC,BOS,2024-11-13 21:05:00,21,3,10.357019999999999,4.9720323182100685,77.0,3,3,40.788,-111.978,24.0,42.364,-71.005,15.0,2100.0031942336104,Evening,3
194,2024-03-13,19:50:00,AUS,PDX,2024-03-13 19:50:00,19,3,12.658579999999999,8.70105655686762,3.1999999999999993,1,2,30.194,-97.670,21.0,45.589,-122.597,22.0,1713.5716052774892,Evening,3
36,2024-01-19,18:19:00,TPA,MCO,2024-01-19 18:19:00,18,5,50.634319999999995,4.35052827843381,75.2,0,3,27.975,-82.533,25.0,28.429,-81.316,17.0,80.47037812938824,Evening,3
49,2024-03-14,17:02:00,DEN,IAH,2024-03-14 17:02:00,17,4,21.864819999999998,2.4860161591050343,14.0,1,3,39.858,-104.667,20.0,29.980,-95.340,18.0,862.0544358592346,Evening,3
106,2024-04-13,06:12:00,BOS,IAD,2024-04-13 06:12:00,6,6,0.0,5.593536357986327,80.6,1,2,42.364,-71.005,7.0,38.944,-77.456,7.0,412.3419711971265,Morning,1
131,2024-01-19,09:17:00,SFO,SEA,2024-01-19 09:17:00,9,5,37.975739999999995,2.4860161591050343,93.2,0,1,37.619,-122.375,17.0,47.449,-122.309,0.0,679.2031887191441,Morning,1
56,2024-07-27,16:55:00,AUS,JFK,2024-07-27 16:55:00,16,6,46.0312,4.9720323182100685,66.2,2,3,30.194,-97.670,21.0,40.640,-73.779,21.0,1519.5821058435263,Afternoon,2
31,2024-08-04,13:29:00,JFK,TPA,2024-08-04 13:29:00,13,7,23.0156,1.8645121193287757,93.2,2,2,40.640,-73.779,26.0,27.975,-82.533,8.0,1006.3708227530236,Afternoon,2
12,2024-08-10,18:23:00,MCO,DTW,2024-08-10 18:23:00,18,6,0.0,4.9720323182100685,62.6,2,3,28.429,-81.316,3.0,42.212,-83.353,6.0,959.1392925828707,Evening,3
172,2024-03-09,00:00:00,IND,MCI,2024-03-09 00:00:00,0,6,34.523399999999995,2.4860161591050343,17.6,1,2,39.717,-86.294,5.0,39.297,-94.714,5.0,449.6352980383386,Night,4
27,2024-03-09,01:48:00,SFO,SEA,2024-03-09 01:48:00,1,6,40.2773,,57.2,1,3,37.619,-122.375,17.0,47.449,-122.309,0.0,679.2031887191441,Night,4
179,2024-07-07,11:53:00,CMH,MCI,2024-07-07 11:53:00,11,7,0.0,6.215040397762586,53.6,2,1,39.998,-82.892,16.0,39.297,-94.714,5.0,630.3430819421238,Morning,1
7,2024-11-28,02:14:00,MSP,CMH,2024-11-28 02:14:00,2,4,1.15078,4.35052827843381,62.6,3,2,44.880,-93.217,23.0,39.998,-82.892,24.0,624.5300283432038,Night,4
95,2024-07-03,08:45:00,LAS,IND,2024-07-03 08:45:00,8,3,4.60312,3.7290242386575514,102.2,2,1,36.080,-115.152,15.0,39.717,-86.294,16.0,1586.3148818393236,Morning,1
47,2024-03-27,16:22:00,CLT,IND,2024-03-27 16:22:00,16,3,27.618719999999996,3.107520198881293,100.4,1,1,35.214,-80.943,8.0,39.717,-86.294,16.0,427.5197311978932,Afternoon,2
91,2024-01-25,14:09:00,ORD,PHX,2024-01-25 14:09:00,14,4,36.82496,2.4860161591050343,30.2,0,3,41.979,-87.904,12.0,33.434,-112.008,25.0,1437.3729599113792,Afternoon,2
156,2024-01-19,12:26:00,SLC,IAD,2024-01-19 12:26:00,12,5,21.864819999999998,10.565568676196396,69.8,0,1,40.788,-111.978,24.0,38.944,-77.456,7.0,1823.4080057155836,Afternoon,2
43,2024-04-11,17:00:00,MIA,DFW,2024-04-11 17:00:00,17,4,13.809359999999998,10.565568676196396,91.4,1,1,25.793,-80.291,18.0,32.896,-97.037,26.0,1119.7392449063816,Evening,3
77,2024-12-05,06:58:00,IAH,SLC,2024-12-05 06:58:00,6,4,18.41248,0.6215040397762586,91.4,0,3,29.980,-95.340,1.0,40.788,-111.978,12.0,1194.759624905627,Morning,1
150,2024-02-11,02:32:00,STL,PHL,2024-02-11 02:32:00,2,7,34.523399999999995,8.079552517091361,37.4,0,1,38.748,-90.360,2.0,39.872,-75.241,3.0,811.0071626187242,Night,4
92,2024-11-11,19:54:00,AUS,BOS,2024-11-11 19:54:00,19,1,54.086659999999995,7.458048477315103,55.4,3,2,30.194,-97.670,21.0,42.364,-71.005,15.0,1696.203117958188,Evening,3
100,2024-10-07,13:36:00,BOS,MCO,2024-10-07 13:36:00,13,1,18.41248,8.70105655686762,73.4,3,3,42.364,-71.005,7.0,28.429,-81.316,17.0,1122.40732795041,Afternoon,2
174,2024-05-13,23:22:00,STL,BOS,2024-05-13 23:22:00,23,1,33.37262,12.430080795525171,3.1999999999999993,1,3,38.748,-90.360,2.0,42.364,-71.005,15.0,1043.801115614216,Night,4
139,2024-10-10,07:57:00,LAS,DEN,2024-10-10 07:57:00,7,4,0.0,8.079552517091361,50.0,3,1,36.080,-115.152,15.0,39.858,-104.667,23.0,627.4039155478141,Morning,1
194,2024-07-19,04:59:00,PDX,JFK,2024-07-19 04:59:00,4,5,12.658579999999999,8.079552517091361,55.4,2,2,45.589,-122.597,19.0,40.640,-73.779,21.0,2447.463400294611,Night,4
164,2024-10-15,00:57:00,IAD,ATL,2024-10-15 00:57:00,0,2,24.166379999999997,7.458048477315103,102.2,3,2,38.944,-77.456,11.0,33.640,-84.427,20.0,533.5456530552757,Night,4
144,2024-01-21,18:59:00,AUS,CMH,2024-01-21 18:59:00,18,7,23.0156,12.430080795525171,100.4,0,3,30.194,-97.670,21.0,39.998,-82.892,24.0,1072.984005694142,Evening,3
185,2024-07-06,16:40:00,LAS,PHX,2024-07-06 16:40:00,16,6,52.93588,12.430080795525171,59.0,2,3,36.080,-115.152,15.0,33.434,-112.008,25.0,255.4609959565767,Afternoon,2
102,2024-08-01,07:43:00,DEN,MSP,2024-08-01 07:43:00,7,4,35.67418,8.70105655686762,84.2,2,2,39.858,-104.667,20.0,44.880,-93.217,4.0,678.7941450791918,Morning,1
131,2024-05-07,16:12:00,IAH,DFW,2024-05-07 16:12:00,16,2,50.634319999999995,6.215040397762586,64.4,1,1,29.980,-95.340,1.0,32.896,-97.037,26.0,224.9374866855095,Afternoon,2
66,2024-04-25,07:01:00,BNA,DFW,2024-04-25 07:01:00,7,4,29.920279999999998,8.079552517091361,1.3999999999999986,1,2,36.124,-86.678,27.0,32.896,-97.037,26.0,630.138560197424,Morning,1
150,2024-08-28,15:00:00,PDX,STL,2024-08-28 15:00:00,15,3,42.57886,4.9720323182100685,5.0,2,3,45.589,-122.597,19.0,38.748,-90.360,19.0,1704.3497001519356,Afternoon,2
14,2024-07-18,12:30:00,IND,IAH,2024-07-18 12:30:00,12,4,14.960139999999999,6.836544437538844,46.4,2,2,39.717,-86.294,5.0,29.980,-95.340,18.0,844.9773722552872,Afternoon,2
66,2024-07-09,21:48:00,DFW,AUS,2024-07-09 21:48:00,21,2,8.05546,6.836544437538844,46.4,2,3,32.896,-97.037,10.0,30.194,-97.670,1.0,190.37531777772338,Evening,3
63,2024-08-07,04:07:00,BOS,ORD,2024-08-07 04:07:00,4,3,28.769499999999997,11.187072715972654,15.8,2,3,42.364,-71.005,7.0,41.979,-87.904,13.0,864.353085145062,Night,4
83,2024-09-12,00:48:00,DEN,LAX,2024-09-12 00:48:00,0,4,49.48354,11.187072715972654,10.399999999999999,3,3,39.858,-104.667,20.0,33.942,-118.408,14.0,860.90020191889,Night,4
117,2024-09-09,12:00:00,MSP,ATL,2024-09-09 12:00:00,12,1,42.57886,1.2430080795525171,64.4,3,1,44.880,-93.217,23.0,33.640,-84.427,20.0,906.6205077376682,Afternoon,2
101,2024-03-19,09:07:00,IAH,JFK,2024-03-19 09:07:00,9,2,29.920279999999998,3.107520198881293,21.2,1,3,29.980,-95.340,1.0,40.640,-73.779,21.0,1415.5521410430997,Morning,1
140,2024-10-17,07:38:00,PDX,SEA,2024-10-17 07:38:00,7,4,35.67418,4.9720323182100685,-0.3999999999999986,3,1,45.589,-122.597,19.0,47.449,-122.309,0.0,129.24214383044833,Morning,1
16,2024-08-26,14:50:00,IND,DTW,2024-08-26 14:50:00,14,1,26.46794,1.2430080795525171,17.6,2,2,39.717,-86.294,5.0,42.212,-83.353,6.0,230.7572298150077,Afternoon,2
125,2024-03-11,15:04:00,SLC,CLT,2024-03-11 15:04:00,15,1,24.166379999999997,11.808576755748913,60.8,1,1,40.788,-111.978,24.0,35.214,-80.943,27.0,1723.4546866074093,Afternoon,2
151,2024-12-07,03:12:00,DTW,IND,2024-12-07 03:12:00,3,6,37.975739999999995,1.8645121193287757,86.0,0,3,42.212,-83.353,14.0,39.717,-86.294,16.0,230.7572298150077,Night,4
96,2024-02-04,17:19:00,CMH,MSP,2024-02-04 17:19:00,17,7,29.920279999999998,8.70105655686762,60.8,0,1,39.998,-82.892,16.0,44.880,-93.217,4.0,624.5300283432038,Evening,3
112,2024-05-15,08:25:00,STL,LAS,2024-05-15 08:25:00,8,3,3.4523399999999995,2.4860161591050343,84.2,1,3,38.748,-90.360,2.0,36.080,-115.152,2.0,1368.7318056101708,Morning,1
84,2024-06-04,00:31:00,SEA,DEN,2024-06-04 00:31:00,0,2,9.20624,3.107520198881293,-4.0,2,3,47.449,-122.309,22.0,39.858,-104.667,23.0,1022.6156586822217,Night,4
128,2024-01-06,12:06:00,SAN,TPA,2024-01-06 12:06:00,12,6,41.428079999999994,7.458048477315103,50.0,0,3,32.733,-117.189,13.0,27.975,-82.533,8.0,2082.9142242040393,Afternoon,2
4,2024-05-04,01:55:00,STL,PHX,2024-05-04 01:55:00,1,6,5.7539,1.2430080795525171,35.6,1,2,38.748,-90.360,2.0,33.434,-112.008,25.0,1259.738076047017,Night,4
182,2024-08-28,11:19:00,MCO,AUS,2024-08-28 11:19:00,11,3,33.37262,6.836544437538844,86.0,2,1,28.429,-81.316,3.0,30.194,-97.670,1.0,991.9392064856203,Morning,1
73,2024-10-18,15:18:00,ATL,IAH,2024-10-18 15:18:00,15,5,4.60312,9.322560596643878,19.4,3,1,33.640,-84.427,0.0,29.980,-95.340,18.0,688.3967325438324,Afternoon,2
12,2024-01-09,23:59:00,DEN,ATL,2024-01-09 23:59:00,23,2,57.538999999999994,7.458048477315103,-0.3999999999999986,0,1,39.858,-104.667,20.0,33.640,-84.427,20.0,1196.7391715103731,Night,4
82,2024-02-07,15:54:00,ATL,CLT,2024-02-07 15:54:00,15,3,23.0156,9.322560596643878,51.8,0,3,33.640,-84.427,0.0,35.214,-80.943,27.0,226.37097004138795,Afternoon,2
110,2024-12-09,02:25:00,STL,MCI,2024-12-09 02:25:00,2,1,51.78509999999999,11.187072715972654,71.6,0,3,38.748,-90.360,2.0,39.297,-94.714,5.0,236.75247366952274,Night,4
112,2024-05-01,21:50:00,DFW,MSP,2024-05-01 21:50:00,21,3,44.880419999999994,8.079552517091361,78.8,1,2,32.896,-97.037,10.0,44.880,-93.217,4.0,852.8591434782962,Evening,3
145,2024-04-06,22:11:00,DTW,SAN,2024-04-06 22:11:00,22,6,5.7539,8.079552517091361,15.8,1,2,42.212,-83.353,14.0,32.733,-117.189,28.0,1952.468902415729,Night,4
89,2024-05-22,13:15:00,MCI,STL,2024-05-22 13:15:00,13,3,2.30156,4.9720323182100685,1.3999999999999986,1,2,39.297,-94.714,28.0,38.748,-90.360,19.0,236.75247366952274,Afternoon,2
162,2024-05-16,23:30:00,BOS,SAN,2024-05-16 23:30:00,23,4,46.0312,10.565568676196396,6.800000000000001,1,2,42.364,-71.005,7.0,32.733,-117.189,28.0,2582.361572173906,Night,4
200,2024-07-16,06:18:00,IAD,SEA,2024-07-16 06:18:00,6,2,20.714039999999997,9.322560596643878,23.0,2,1,38.944,-77.456,11.0,47.449,-122.309,0.0,2300.1186052790463,Morning,1
113,2024-02-08,09:35:00,DTW,ATL,2024-02-08 09:35:00,9,4,11.5078,7.458048477315103,55.4,0,3,42.212,-83.353,14.0,33.640,-84.427,20.0,595.1448708575156,Morning,1
115,2024-10-09,20:43:00,MCI,PHX,2024-10-09 20:43:00,20,3,40.2773,3.107520198881293,68.0,3,3,39.297,-94.714,28.0,33.434,-112.008,25.0,1041.794365161179,Evening,3
18,2024-06-10,08:11:00,MIA,CLT,2024-06-10 08:11:00,8,1,21.864819999999998,0.6215040397762586,75.2,2,1,25.793,-80.291,18.0,35.214,-80.943,27.0,652.0863409013291,Morning,1
167,2024-01-18,02:13:00,STL,PDX,2024-01-18 02:13:00,2,4,36.82496,5.593536357986327,26.6,0,1,38.748,-90.360,2.0,45.589,-122.597,22.0,1704.3497001519356,Night,4
125,2024-07-23,16:52:00,LAS,SAN,2024-07-23 16:52:00,16,2,31.07106,4.35052827843381,14.0,2,3,36.080,-115.152,15.0,32.733,-117.189,28.0,258.7560703614194,Afternoon,2
109,2024-07-16,13:11:00,JFK,SAN,2024-07-16 13:11:00,13,2,32.22184,1.8645121193287757,26.6,2,3,40.640,-73.779,26.0,32.733,-117.189,28.0,2440.756473833826,Afternoon,2
150,2024-12-12,17:46:00,LAS,DTW,2024-12-12 17:46:00,17,4,19.56326,0.6215040397762586,42.8,0,2,36.080,-115.152,15.0,42.212,-83.353,6.0,1744.8636246646508,Evening,3
64,2024-07-03,05:23:00,PHX,TPA,2024-07-03 05:23:00,5,3,2.30156,4.9720323182100685,15.8,2,3,33.434,-112.008,9.0,27.975,-82.533,8.0,1784.8548107039514,Morning,1
104,2024-01-26,20:29:00,JFK,LAX,2024-01-26 20:29:00,20,5,8.05546,0.6215040397762586,93.2,0,2,40.640,-73.779,26.0,33.942,-118.408,14.0,2469.487039156723,Evening,3
27,2024-06-10,02:28:00,MSP,JFK,2024-06-10 02:28:00,2,1,56.38822,11.187072715972654,19.4,2,2,44.880,-93.217,23.0,40.640,-73.779,21.0,1025.8002047197897,Night,4
174,2024-09-19,20:51:00,SFO,MCO,2024-09-19 20:51:00,20,4,56.38822,3.7290242386575514,19.4,3,3,37.619,-122.375,17.0,28.429,-81.316,17.0,2441.1148481313817,Evening,3
173,2024-12-04,19:24:00,MIA,CLT,2024-12-04 19:24:00,19,3,4.60312,3.7290242386575514,6.800000000000001,0,3,25.793,-80.291,18.0,35.214,-80.943,27.0,652.0863409013291,Evening,3
50,2024-09-01,04:36:00,CLT,PDX,2024-09-01 04:36:00,4,7,41.428079999999994,11.187072715972654,14.0,3,3,35.214,-80.943,8.0,45.589,-122.597,22.0,2276.9940406949877,Night,4
102,2024-06-23,11:54:00,STL,MCI,2024-06-23 11:54:00,11,7,24.166379999999997,2.4860161591050343,26.6,2,1,38.748,-90.360,2.0,39.297,-94.714,5.0,236.75247366952274,Morning,1
60,2024-05-18,09:40:00,CMH,TPA,2024-05-18 09:40:00,9,6,54.086659999999995,7.458048477315103,6.800000000000001,1,2,39.998,-82.892,16.0,27.975,-82.533,8.0,830.9706539919496,Morning,1
28,2024-10-02,15:32:00,PHX,DEN,2024-10-02 15:32:00,15,3,44.880419999999994,6.836544437538844,86.0,3,3,33.434,-112.008,9.0,39.858,-104.667,23.0,601.7370009334737,Afternoon,2
55,2024-05-02,12:14:00,MSP,TPA,2024-05-02 12:14:00,12,4,24.166379999999997,10.565568676196396,104.0,1,3,44.880,-93.217,23.0,27.975,-82.533,8.0,1307.6549243792006,Afternoon,2
71,2024-09-11,12:43:00,MCO,SLC,2024-09-11 12:43:00,12,3,35.67418,4.9720323182100685,41.0,3,2,28.429,-81.316,3.0,40.788,-111.978,12.0,1927.9692501883385,Afternoon,2
110,2024-06-15,05:05:00,ORD,IND,2024-06-15 05:05:00,5,6,49.48354,7.458048477315103,-2.200000000000003,2,2,41.979,-87.904,12.0,39.717,-86.294,16.0,177.4953167407624,Morning,1
109,2024-08-20,13:16:00,DFW,CMH,2024-08-20 13:16:00,13,2,56.38822,9.322560596643878,44.6,2,3,32.896,-97.037,10.0,39.998,-82.892,24.0,925.0211593810188,Afternoon,2
199,2024-06-18,21:44:00,PHL,AUS,2024-06-18 21:44:00,21,2,40.2773,5.593536357986327,96.8,2,3,39.872,-75.241,6.0,30.194,-97.670,1.0,1428.6404287764199,Evening,3
65,2024-11-21,19:02:00,TPA,IAD,2024-11-21 19:02:00,19,4,21.864819999999998,10.565568676196396,86.0,3,2,27.975,-82.533,25.0,38.944,-77.456,7.0,812.0510926867364,Evening,3
3,2024-12-21,15:01:00,MIA,MSP,2024-12-21 15:01:00,15,6,32.22184,11.808576755748913,5.0,0,2,25.793,-80.291,18.0,44.880,-93.217,4.0,1502.2970607640787,Afternoon,2
16,2024-05-13,08:04:00,AUS,DTW,2024-05-13 08:04:00,8,1,18.41248,9.322560596643878,78.8,1,2,30.194,-97.670,21.0,42.212,-83.353,6.0,1148.6606258450765,Morning,1
164,2024-03-19,02:37:00,AUS,LAX,2024-03-19 02:37:00,2,2,57.538999999999994,9.322560596643878,87.8,1,1,30.194,-97.670,21.0,33.942,-118.408,14.0,1239.2449861524874,Night,4
133,2024-05-26,11:39:00,IAH,PHL,2024-05-26 11:39:00,11,7,31.07106,10.565568676196396,28.4,1,2,29.980,-95.340,1.0,39.872,-75.241,3.0,1323.335474807384,Morning,1
67,2024-04-14,13:40:00,PHL,MCO,2024-04-14 13:40:00,13,7,11.5078,3.7290242386575514,1.3999999999999986,1,1,39.872,-75.241,6.0,28.429,-81.316,17.0,863.0118078114391,Afternoon,2
